start  1622195190 
submit splash2x-fft 1622195191 
submit freqmine 1622195192 
submit blackscholes 1622195192 
submit dedup 1622195193 
submit canneal 1622195194 
submit ferret 1622195196 
pause dedup 1622195201 
pause splash2x-fft 1622195202 
change_core 2 1622195202 
unpause dedup 1622195222 
unpause splash2x-fft 1622195222 
change_core 1 1622195222 
pause dedup 1622195232 
pause splash2x-fft 1622195234 
change_core 2 1622195234 
unpause dedup 1622195241 
unpause splash2x-fft 1622195241 
change_core 1 1622195241 
pause dedup 1622195251 
pause splash2x-fft 1622195251 
change_core 2 1622195251 
unpause dedup 1622195281 
unpause splash2x-fft 1622195282 
change_core 1 1622195282 
pause dedup 1622195302 
pause splash2x-fft 1622195302 
change_core 2 1622195302 
unpause dedup 1622195331 
unpause splash2x-fft 1622195331 
change_core 1 1622195331 
pause dedup 1622195364 
pause splash2x-fft 1622195364 
change_core 2 1622195364 
unpause dedup 1622195371 
unpause splash2x-fft 1622195371 
change_core 1 1622195371 
pause dedup 1622195381 
pause splash2x-fft 1622195381 
change_core 2 1622195381 
unpause dedup 1622195422 
unpause splash2x-fft 1622195422 
change_core 1 1622195422 
pause dedup 1622195432 
pause splash2x-fft 1622195432 
change_core 2 1622195432 
unpause dedup 1622195442 
unpause splash2x-fft 1622195442 
change_core 1 1622195442 
pause dedup 1622195452 
pause splash2x-fft 1622195452 
change_core 2 1622195452 
unpause dedup 1622195491 
unpause splash2x-fft 1622195492 
change_core 1 1622195492 
pause dedup 1622195531 
pause splash2x-fft 1622195531 
change_core 2 1622195531 
finish splash2x-fft 1622195531 
unpause dedup 1622195602 
change_core 1 1622195602 
pause dedup 1622195611 
change_core 2 1622195611 
unpause dedup 1622195641 
change_core 1 1622195641 
pause dedup 1622195652 
change_core 2 1622195652 
unpause dedup 1622195661 
change_core 1 1622195661 
finish dedup 1622195671 
change_core 2 1622195672 
finish blackscholes 1622195852 
finish canneal 1622196224 
finish freqmine 1622196440 
finish ferret 1622196678 
end  1622196678 
