Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622195190345
Timestamp end: 1622196990780

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      553.5  1830.7    86.8   159.1   202.9   323.0   382.2   417.3   442.7   475.9   534.8   916.6  5552.9 31369.2 38521.7   5035.5     5031
read      503.3   906.1    74.4   126.2   149.8   359.7   458.6   521.0   575.8   653.3   784.0  1390.1  2966.0 10605.5 32488.2  54646.6    54838
read      451.4   735.1    74.4   127.0   152.2   355.8   443.3   497.0   541.7   601.3   689.3   868.5  2549.4  8710.7 31569.9  74743.2    74868
read      508.5   646.9    74.4   120.8   141.7   341.8   471.0   593.0   744.0   988.0  1163.4  1352.4  1814.3  6899.5 30544.8  30004.7    30015
read      470.4   758.7    74.4   121.3   142.4   346.3   441.8   503.3   555.9   627.9   742.3  1361.3  2353.3  8252.8 31466.7  40653.0    40743
read      546.4   922.0    74.4   123.6   145.2   356.0   527.0   693.0   835.8   954.7  1070.2  1238.4  2743.5 10610.4 32299.7  23634.1    23648
read      554.5   778.1    74.4   173.8   232.7   458.3   534.5   588.3   640.4   732.5   865.4  1062.2  2208.5  9816.9 31699.0  97723.7    97712
read      435.9   703.7    74.4   121.9   143.7   343.9   436.4   491.8   536.8   595.0   679.6   885.0  2187.7  7785.9 31251.3  53587.3    53672
read      452.7   792.3    68.9   123.4   145.6   346.2   440.0   496.0   541.3   602.0   690.1   926.5  2437.4  9537.8 31874.6  55359.2    55395
read      550.0   931.0    74.4   121.8   143.5   347.5   488.5   625.7   811.9  1022.7  1182.8  1379.6  2667.9 10912.5 32144.2  29407.5    29425
read      551.6  1285.4    74.4   123.6   147.1   374.0   534.1   639.9   704.1   769.8   849.1   985.4  3645.0 20296.1 35912.1  15126.3    15173
read      560.2   867.1    68.9   142.7   182.5   409.1   501.9   578.7   646.1   741.2   915.6  1595.7  2740.1 10045.2 32075.9  82356.0    82475
read      461.4   733.1    74.4   139.2   172.8   382.5   464.9   514.0   557.0   619.7   710.8   867.4  2072.6  9145.3 31481.5  90532.9    90555
read      442.6   696.3    68.9   121.3   143.1   346.4   440.2   496.1   542.7   604.9   692.9   943.1  2115.8  7770.9 31422.3  47869.7    47944
read      580.8  1113.4    74.4   120.4   142.0   345.0   491.1   636.1   835.4  1015.4  1165.0  1374.8  3968.3 12552.6 32320.9  28295.4    28313
read      592.3  1144.6    74.4   122.0   143.7   348.4   506.1   687.1   904.0  1055.9  1199.1  1395.9  3768.8 16152.0 32279.7  28486.4    28504
read      566.3  1071.3    74.4   121.6   144.0   353.5   535.8   720.2   836.1   936.1  1043.1  1198.5  3613.8 15981.3 35152.1  22815.1    22886
read      472.6   825.6    68.9   119.1   139.9   338.4   434.1   504.0   565.9   651.1   856.1  1311.6  2054.0  8634.8 31938.8  35682.1    35717
read      552.5  1396.9    74.4   123.2   146.7   366.9   509.6   612.6   679.2   745.4   823.7   958.6  3829.6 27959.1 37518.8  14822.9    14828
read      518.8   838.7    74.4   137.3   171.2   396.3   483.1   540.7   591.7   672.9   805.9  1324.1  2743.6  9976.8 31791.4  81664.6    81704
read      447.8   739.2    68.9   121.9   144.4   347.2   443.3   498.9   543.5   601.7   687.5   902.7  2390.7  8078.8 31514.2  55730.9    55771
read      471.2   760.5    68.9   138.2   170.3   386.3   473.4   528.0   572.6   631.7   719.8   880.0  2398.6 10242.3 31519.5  85383.0    85226
read      466.7   781.8    74.4   129.8   157.6   370.0   462.3   516.9   561.9   622.9   711.8   895.2  2692.8  8898.2 31840.8  75057.0    75020
read      618.4  1803.5    74.4   124.0   149.1   362.2   489.9   577.4   637.7   704.9   789.6   966.9  6834.6 30952.3 38721.6  12412.4    12441
read      493.2   787.7    68.9   120.5   144.6   354.6   454.1   519.1   574.0   647.9   779.4  1512.6  2628.2  9612.6 31248.6  56184.3    56208
read      582.8  1424.1    68.9   122.3   145.0   364.2   526.0   647.7   734.3   821.4   924.3  1114.1  3972.3 28921.9 37375.5  17386.0    17446
read      554.8   756.1    74.4   151.3   197.2   423.1   508.9   581.8   652.9   751.6   903.3  1555.0  2425.8  8756.0 31523.6  86931.9    86943
read      459.7   806.8    74.4   122.0   144.4   352.8   449.2   507.4   553.9   617.2   707.9   963.5  2331.0  9445.8 31944.6  49222.2    49138
read      450.4   728.6    68.9   121.4   143.6   351.1   447.5   504.2   549.7   612.3   701.0   933.9  2265.6  7644.0 32014.8  49842.0    49839
read      440.0   689.0    68.9   120.8   142.7   347.4   441.1   497.8   543.5   603.6   691.1   917.6  2098.2  7464.1 31370.8  47950.6    47752
read      576.1  1210.8    74.4   120.7   142.0   346.5   488.5   622.2   801.2   990.4  1150.3  1365.3  3159.5 17974.9 32521.0  27169.2    27181
read      786.0  2765.3    80.4   141.3   179.7   325.6   406.2   452.3   487.5   534.5   616.9  2048.6 13748.7 32472.2 40856.6   6188.7     6170
read     3533.7 41580.1    74.4   138.7   178.5   356.8   459.7   514.5   552.2   605.2   711.8  1792.6 29076.1 711087.4 757898.0   7177.1     7187
read      955.6  1105.3    86.8   349.2   375.8   571.5   915.1  1454.6  1598.7  1722.3  1887.9  2149.0  3184.7 13393.2 32007.7  99240.2    99387
read      660.1   684.5   101.3   373.9   401.2   563.4   669.6   743.3   804.4   879.5   990.0  1161.7  1565.2  6966.6 31594.5  91920.9    91970
read      531.2   712.7    74.4   195.4   259.9   447.2   517.0   581.0   658.4   751.7   835.8   943.1  1400.7 10418.9 31565.2  79780.2    79658
