Random waveform, supplied seed
Total number of intervals = 600 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737)
Average QPS expected = 52043
Timestamp start: 1622180713351
Timestamp end: 1622182513945

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      607.7  2009.4    80.4   164.1   202.7   331.1   392.5   431.7   463.4   502.7   572.8  1211.2  6995.8 32020.9 49695.0   5004.7     5031
read      808.3  2151.2    74.4   132.5   161.3   397.1   508.1   586.8   668.3   849.2  1435.1  2217.6 11278.3 31416.6 37637.0  54555.3    54838
read      905.9  2442.8    74.4   245.6   311.5   487.5   576.8   647.4   709.7   796.7   923.7  1165.9 12613.6 31880.6 37780.7  74573.0    74868
read      485.9   534.3    74.4   124.3   145.6   356.5   467.2   548.7   622.3   784.6  1114.9  1366.6  1838.9  4031.0 12928.8  29958.0    30015
read      638.0  1272.3    74.4   125.9   151.3   394.2   508.8   596.3   675.6   846.5  1388.4  1941.7  4023.7 21128.0 35667.9  40763.0    40743
read      578.1  1323.4    74.4   120.9   142.5   355.7   475.6   558.9   643.1   852.2  1053.1  1280.3  4476.4 19506.9 32439.2  23645.0    23648
read      738.8   587.4    80.4   374.0   406.5   529.9   639.6   839.6   942.5  1069.2  1521.8  1823.7  2599.4  4838.0 16700.9  97794.3    97712
read      430.4   668.9    68.9   120.5   143.4   349.9   436.5   487.5   528.7   582.2   657.9   829.5  2064.3  7860.9 30349.8  53742.7    53672
read      459.4   786.5    74.4   121.0   143.2   350.8   441.9   494.3   538.4   597.5   678.3   935.2  2671.9  8392.2 31723.0  55505.0    55395
read      475.6   691.6    74.4   121.2   142.1   348.4   447.1   520.4   578.5   664.0   965.6  1282.5  2408.9  6319.1 31342.1  29440.7    29425
read      533.5   843.8    80.4   126.9   152.0   397.8   564.7   679.1   748.6   817.8   899.1  1043.2  2766.7  9421.5 31746.7  15273.0    15173
read      775.1   788.3    74.4   309.5   365.1   506.5   635.7   861.4  1000.3  1501.5  1685.8  1961.6  2947.5  7610.2 29158.2  82393.7    82475
read      448.7   660.9    74.4   138.9   172.2   381.3   457.8   503.4   541.5   597.5   688.9   831.3  1928.1  8670.3 30804.0  90923.0    90555
read      439.5   745.2    74.4   119.5   141.7   352.3   436.8   487.1   528.1   581.7   652.9   811.5  2326.2  9063.1 31710.1  48161.7    47944
read      527.1  1038.5    74.4   118.2   139.3   346.2   447.8   524.4   586.1   695.0  1107.5  1383.1  3008.0 14129.2 31992.3  28397.7    28313
read      539.1   709.9    74.4   115.6   134.6   341.2   463.6   574.5   812.5  1165.2  1328.2  1502.7  1913.9  7366.6 30946.9  28490.7    28504
read      645.0  1551.8    74.4   117.1   138.1   356.9   506.3   699.8   931.2  1058.1  1178.5  1354.8  5557.9 29046.4 35226.3  23095.7    22886
read      517.5   784.8    74.4   119.7   140.8   353.3   451.1   525.0   589.9   697.2  1201.0  1576.0  2640.9  7531.6 31014.5  35910.7    35717
read      494.6   932.1    74.4   124.9   148.0   371.0   495.2   582.3   658.5   738.0   825.4   944.7  2857.3 12241.6 36867.5  14742.7    14828
read      816.0  1246.8    80.4   332.7   381.6   521.2   597.1   741.2   874.8   993.7  1205.8  2325.4  5502.3 13074.3 37052.6  81822.0    81704
read      425.0   637.4    74.4   122.4   144.8   348.4   438.4   490.4   532.3   585.7   655.5   798.4  2110.3  6350.4 30841.3  55881.7    55771
read      436.3   670.3    74.4   130.9   158.7   361.9   442.3   491.8   532.5   588.4   669.9   804.9  2350.6  8571.9 30920.7  85455.7    85226
read      454.1   812.5    68.9   127.4   153.0   360.7   446.5   499.4   542.0   598.4   681.6   822.1  2867.5 10722.9 31842.1  75041.7    75020
read      518.5  1417.5    74.4   122.9   145.4   349.6   446.4   509.4   568.1   638.5   725.1   859.7  3651.2 27291.5 36701.0  12527.7    12441
read      480.4   719.9    74.4   120.6   143.6   346.6   436.2   493.2   541.0   609.4   725.0  1579.5  2583.8  8379.2 30319.1  56047.0    56208
read      539.5  1161.1    80.4   121.9   144.9   359.1   480.9   569.5   662.7   774.3   899.3  1093.1  3660.9 12558.4 37238.5  17494.3    17446
read      669.7   771.5    74.4   199.0   282.4   489.7   556.3   668.9   830.2   969.4  1436.1  1773.3  2682.2 12036.4 29899.0  86884.0    86943
read      438.1   841.7    74.4   118.9   140.3   345.4   431.3   479.8   520.3   572.5   641.3   808.8  2119.5 12378.7 31875.9  49093.7    49138
read      417.5   617.7    74.4   118.9   139.8   344.3   429.2   477.2   517.6   572.0   640.9   778.6  1930.3  9638.7 28986.6  50039.0    49839
read      442.2   752.6    74.4   120.7   142.6   350.1   435.0   487.0   529.6   584.5   660.6   859.5  2169.0  9647.0 32055.5  47691.0    47752
read      485.5   751.3    74.4   121.7   143.8   353.5   457.9   529.5   589.0   688.9   960.5  1292.0  2183.0  6263.0 35994.9  27150.3    27181
read      689.4  2555.8    86.8   141.6   182.8   326.8   398.5   442.8   473.4   512.4   570.1   823.3 11049.3 32120.0 37534.6   6192.0     6170
read      679.9  2482.2    80.4   136.4   173.8   335.2   421.6   470.0   502.5   541.2   597.0   795.3 13535.8 32007.0 37473.8   7173.3     7187
