Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1622182742628
Timestamp end: 1622184543135

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      621.2  1866.7    86.8   159.0   206.8   326.2   383.5   421.4   453.8   503.6   630.9  1826.8  5787.2 30996.9 37245.4   4950.2     5031
read      654.5  1752.0    74.4   130.9   158.3   386.2   488.7   550.3   603.6   687.7   856.9  1742.8  7647.4 30501.7 38154.3  54706.8    54838
read      579.7   969.8    74.4   144.7   184.7   452.5   554.6   623.3   684.5   780.2   954.9  1296.1  2926.9 12044.4 41310.7  74954.8    74868
read      569.7   984.6    74.4   122.0   144.6   357.2   475.8   576.9   686.9   991.8  1203.1  1439.4  3939.3  9826.8 32523.0  30036.6    30015
read      509.1   902.3    74.4   123.1   145.4   364.3   456.7   522.0   579.2   655.4   835.2  1460.7  2833.5 11351.4 31899.1  40683.6    40743
read      518.1   596.0    74.4   121.0   144.2   359.2   508.4   635.8   802.1   950.6  1084.3  1258.0  2211.8  6466.8 19043.1  23741.0    23648
read      759.8   700.4    74.4   390.5   419.1   539.2   656.0   837.7   947.7  1069.3  1544.2  1871.9  2674.0  8366.2 28573.4  97497.0    97712
read      457.1   782.3    68.9   125.4   150.0   374.4   460.2   509.2   549.6   607.0   688.3   881.8  2116.1 10731.5 31613.1  53500.0    53672
read      466.4   830.4    68.9   123.7   147.4   367.1   456.5   508.6   550.4   607.9   685.5   881.3  2401.6 11230.5 31793.7  55341.0    55395
read      564.4  1013.5    74.4   123.4   146.0   362.4   484.5   591.1   717.3  1000.4  1200.8  1429.7  3062.1 12661.5 33910.0  29478.4    29425
read      540.9  1026.4    74.4   124.8   150.6   384.9   548.2   663.9   733.8   804.1   886.3  1028.5  2928.6 11953.3 32127.8  15240.4    15173
read      650.6   962.3    74.4   170.6   231.7   473.1   544.5   615.0   712.0   871.2  1056.7  1730.4  3422.5 11235.1 32052.7  82275.0    82475
read      910.1 15579.9    74.4   167.9   222.4   484.0   565.3   632.9   714.5   866.3  1050.7  2043.5  4250.9 30773.2 1214286.2  90688.4    90555
read     1596.3 32043.9    74.4   155.8   219.6   483.6   539.0   577.8   620.6   711.9   884.9  1033.3  2153.1 335244.8 1293652.9  47895.8    47944
read      524.4   835.8    68.9   121.7   144.1   357.5   472.6   564.8   650.5   890.8  1132.5  1363.0  2290.9  9982.5 31768.7  28306.4    28313
read      584.5  1037.0    74.4   119.9   142.1   351.2   497.9   659.4   908.6  1075.3  1219.2  1401.6  3616.7 12308.2 32409.3  28483.8    28504
read      664.5  1593.4    74.4   122.3   146.9   366.9   544.6   752.0   881.1   991.4  1106.9  1298.8  6217.6 30047.8 36967.3  22896.4    22886
read      501.9   780.1    74.4   120.9   142.9   352.5   446.0   519.0   581.6   674.5  1109.1  1476.6  2458.8  8192.0 31237.3  35777.8    35717
read      750.0  2206.0    74.4   124.5   150.9   376.0   522.1   634.4   707.0   785.1   885.1  1242.8  8906.1 31510.0 37502.8  14787.8    14828
read      639.9   988.3    74.4   162.7   220.7   456.6   530.6   604.1   723.3   878.7  1165.0  1732.7  2933.6 12443.0 32317.8  81420.0    81704
