#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      222.8   208.4    59.1    99.3   112.3   189.7   239.2   271.1   294.7   323.5   364.5   425.4   569.1  1758.7  8263.1  29906.4    30000
read      259.2   415.5    54.7    98.3   110.0   197.4   254.4   291.9   320.0   356.9   403.8   484.9   901.1  6216.0 12715.1  29968.3    30010
read      259.0   431.2    59.1    95.0   105.3   198.9   262.0   296.1   321.0   353.9   398.4   470.3   921.4  6420.2 12740.2  30009.7    30020
read      262.5   421.1    59.1    96.4   107.7   204.1   267.2   302.5   328.7   361.5   404.3   475.5   903.9  6171.2 14433.2  29981.5    30030
read      262.8   428.9    59.1    96.7   108.3   204.5   267.2   302.5   328.2   360.7   403.7   473.9   886.8  6407.3 12775.7  30050.2    30040
read      252.6   418.6    59.1    94.7   104.5   195.5   255.1   289.3   314.2   345.6   389.9   460.9   846.6  6380.5 12576.5  30142.0    30050
read      258.6   420.3    63.8    97.2   108.6   201.4   260.5   295.5   321.2   353.9   398.2   470.2   860.7  6425.6 14716.1  29969.0    30060
read      245.0   414.9    63.8    95.6   105.6   186.5   238.6   273.0   300.2   334.2   379.0   453.0   804.3  6370.8 12408.3  30131.0    30070
read      249.5   394.5    59.1    94.3   103.6   194.7   255.0   288.7   313.6   344.7   388.2   459.7   793.4  6077.7 12143.8  30069.1    30080
read      266.5   425.6    59.1    98.2   110.1   207.1   270.3   306.1   332.1   364.8   409.5   487.5  1003.4  6436.9 12853.5  30053.4    30090
read      258.1   413.1    59.1    97.8   109.6   201.5   259.8   295.4   321.8   356.2   401.3   476.1   800.8  6604.3 12902.2  30128.4    30100
read      259.4   426.8    59.1    96.4   107.2   200.0   260.6   295.8   321.7   355.3   399.7   475.5   969.1  6215.9 14432.7  30066.6    30110
read      265.4   421.9    63.8    98.3   110.1   206.4   267.7   303.8   330.6   364.3   409.8   485.7   884.9  6619.8 12581.3  30119.4    30120
read      272.8   427.2    59.1    99.0   111.6   214.7   278.8   315.6   342.2   375.6   422.5   498.6   871.6  6722.5 12902.0  30079.7    30130
read      255.4   408.1    63.8    97.5   108.2   198.3   257.7   293.6   320.0   354.0   399.3   472.6   807.9  6081.1 13345.2  30168.7    30140
read      269.3   446.6    59.1    97.9   110.2   210.9   271.4   307.9   334.9   368.3   413.1   489.3   858.3  6405.4 15808.3  30115.7    30150
read      306.0   475.5    59.1   103.6   119.0   243.8   316.0   355.7   385.0   421.5   471.0   561.3  1051.7  6775.7 15901.5  30230.0    30160
read      241.1   263.4    54.7   100.0   113.7   206.7   264.4   297.0   320.8   350.5   391.8   456.2   613.8  2262.2 14559.0  30180.1    30170
read      237.7   214.5    54.7   101.2   114.2   203.8   262.5   295.2   318.9   348.4   390.0   453.3   600.3  2276.2  9159.0  30140.7    30180
read      234.9   204.7    54.7   101.5   114.3   199.5   255.2   289.6   315.0   346.2   390.1   455.4   601.7  2063.7  8409.0  30211.7    30190

